Date,Close,High,Low,Open,Volume,MA5,MA20,Return,RSI,sentiment_score,positive_ratio,negative_ratio,discussion_volume,Target
2021-06-07,5595.16748046875,5629.441094437931,5509.483445545798,5620.872690945635,62576000,5578.03017578125,5499.414990234375,-0.007598659419769005,53.20516238214205,4.272,0.6682,0.3318,33,5509.482421875
2021-06-08,5509.482421875,5633.724249428946,5509.482421875,5633.724249428946,64348000,5587.4552734375,5500.700219726563,-0.01531411863770904,45.930248729954315,3.3076,0.6802,0.3198,13,5595.16748046875
2021-06-09,5595.16748046875,5599.451682214897,5449.504621099732,5449.504621099732,77198000,5598.5943359375,5505.198681640625,0.015552288224669475,58.23530593749138,5.0618,0.7401,0.2599,25,5672.2822265625
2021-06-10,5672.2822265625,5672.2822265625,5560.892998548433,5616.587612555466,73262500,5602.0216796875,5513.552880859375,0.013782383880900362,65.36311389564389,7.9984,0.7931,0.2069,26,5543.7568359375
2021-06-11,5543.7568359375,5638.009270551584,5535.188432790766,5629.44086740485,72780500,5583.1712890625,5516.551831054688,-0.02265849714302537,54.45548184698025,5.082,0.6273,0.3727,26,5492.34619140625
2021-06-14,5492.34619140625,5586.598622148011,5483.777788611545,5586.598622148011,61478500,5562.60703125,5516.1234130859375,-0.009273611028171258,52.380911022262794,4.9482,0.6537,0.3463,25,5543.7568359375
2021-06-15,5543.7568359375,5543.7568359375,5488.062215483723,5522.335828070663,87799000,5569.4619140625,5515.694995117187,0.009360415884142714,56.74420329710791,4.5308,0.6747,0.3253,23,5470.92529296875
2021-06-16,5470.92529296875,5513.767307792311,5449.504285556969,5500.914703345243,48984000,5544.6134765625,5510.768212890625,-0.013137578924208637,51.32745147232935,4.081,0.654,0.346,30,5423.79833984375
2021-06-17,5423.79833984375,5475.208750647956,5376.672129939894,5475.208750647956,68448500,5494.91669921875,5508.19765625,-0.008614073598403493,52.727255764869795,4.9308,0.7199,0.2801,14,5419.5146484375
2021-06-18,5419.5146484375,5436.651453649951,5380.956836709486,5398.093641921936,118043000,5470.06826171875,5507.3408203125,-0.0007897954787111638,49.27536630085637,3.3214,0.6007,0.3993,27,5355.25146484375
2021-06-21,5355.25146484375,5398.0934765625,5320.97785546875,5398.0934765625,60823500,5442.64931640625,5501.7713623046875,-0.011857737779577326,44.186024314485095,2.5586,0.586,0.414,28,5432.3671875
