Date,sentiment_score,positive_ratio,negative_ratio,discussion_volume
2022-09-06,-0.0058,0.0081,0.9919,19
2022-09-07,-0.0174,0.0213,0.9787,29
2022-09-08,-0.0087,0.0106,0.9894,41
2022-09-09,-0.0232,0.0271,0.9729,23
2022-09-12,-0.0328,0.0385,0.9615,20
2022-09-13,-0.0164,0.0193,0.9807,29
2022-09-14,-0.0202,0.0228,0.9772,38
2022-09-15,-0.0167,0.019,0.981,66
2022-09-16,-0.0084,0.0095,0.9905,33
2022-09-19,-0.0042,0.0047,0.9953,76
2022-09-20,-0.0324,0.0394,0.9606,27
2022-09-21,-0.0162,0.0197,0.9803,21
2022-09-22,-0.0081,0.0099,0.9901,16
2022-09-23,-0.004,0.0049,0.9951,12
2022-09-26,-0.002,0.0025,0.9975,38
2022-09-27,-0.001,0.0012,0.9988,16
2022-09-28,-0.0005,0.0006,0.9994,16
2022-09-29,-0.0353,0.0458,0.9542,11
2022-09-30,-0.0177,0.0229,0.9771,29
2022-10-03,-0.0088,0.0114,0.9886,17
2022-10-04,-0.0044,0.0057,0.9943,18
2022-10-05,-0.0022,0.0029,0.9971,17
2022-10-06,-0.0011,0.0014,0.9986,12
2022-10-07,-0.0006,0.0007,0.9993,27
2022-10-10,-0.0003,0.0004,0.9996,32
2022-10-11,-0.0001,0.0002,0.9998,22
2022-10-12,-0.0001,0.0001,0.9999,16
2022-10-13,-0.0,0.0,1.0,17
2022-10-14,-0.0,0.0,1.0,13
2022-10-17,-0.0097,0.0109,0.9891,46
2022-10-18,-0.0048,0.0054,0.9946,20
2022-10-19,-0.0024,0.0027,0.9973,10
2022-10-20,-0.0012,0.0014,0.9986,41
2022-10-21,-0.0006,0.0007,0.9993,39
2022-10-24,-0.0125,0.0142,0.9858,72
2022-10-25,-0.0345,0.0416,0.9584,29
2022-10-26,-0.0173,0.0208,0.9792,27
2022-10-27,-0.0393,0.0489,0.9511,13
2022-10-28,-0.0414,0.0494,0.9506,20
2022-10-31,-0.0207,0.0247,0.9753,22
2022-11-01,-0.0103,0.0124,0.9876,17
2022-11-02,-0.0052,0.0062,0.9938,9
2022-11-03,-0.0026,0.0031,0.9969,17
2022-11-04,-0.0013,0.0015,0.9985,11
2022-11-07,-0.0253,0.032,0.968,16
2022-11-08,-0.0127,0.016,0.984,11
2022-11-09,-0.0355,0.045,0.955,27
2022-11-10,-0.0335,0.0404,0.9596,28
2022-11-11,-0.0168,0.0202,0.9798,11
2022-11-14,-0.0084,0.0101,0.9899,28
2022-11-15,-0.0042,0.005,0.995,13
2022-11-16,-0.0021,0.0025,0.9975,22
2022-11-17,-0.001,0.0013,0.9987,26
2022-11-18,-0.0005,0.0006,0.9994,24
2022-11-21,-0.0003,0.0003,0.9997,41
2022-11-22,-0.0001,0.0002,0.9998,28
2022-11-23,-0.0001,0.0001,0.9999,32
2022-11-24,-0.0097,0.0112,0.9888,45
2022-11-25,-0.0049,0.0056,0.9944,28
2022-11-28,-0.0024,0.0028,0.9972,46
2022-11-29,-0.0012,0.0014,0.9986,20
2022-11-30,-0.0006,0.0007,0.9993,75
2022-12-01,-0.0174,0.0212,0.9788,48
2022-12-02,-0.0087,0.0106,0.9894,24
2022-12-05,-0.0186,0.022,0.978,30
2022-12-06,-0.0093,0.011,0.989,55
2022-12-07,-0.0104,0.012,0.988,77
2022-12-08,-0.0052,0.006,0.994,75
2022-12-09,-0.0026,0.003,0.997,33
2022-12-12,-0.0013,0.0015,0.9985,43
2022-12-13,-0.0128,0.0146,0.9854,36
2022-12-14,-0.0232,0.0273,0.9727,25
2022-12-15,-0.0116,0.0137,0.9863,25
2022-12-16,-0.0058,0.0068,0.9932,20
2022-12-19,-0.0029,0.0034,0.9966,27
2022-12-20,-0.0015,0.0017,0.9983,21
2022-12-21,-0.0007,0.0009,0.9991,22
2022-12-22,-0.0004,0.0004,0.9996,25
2022-12-23,-0.0288,0.0359,0.9641,14
2022-12-26,-0.0144,0.018,0.982,26
2022-12-27,-0.0072,0.009,0.991,30
2022-12-28,-0.0036,0.0045,0.9955,24
2022-12-29,-0.0211,0.025,0.975,22
2022-12-30,-0.0106,0.0125,0.9875,19
2023-01-02,-0.0053,0.0062,0.9938,31
2023-01-03,-0.0026,0.0031,0.9969,11
2023-01-04,-0.0013,0.0016,0.9984,33
2023-01-05,-0.007,0.0079,0.9921,70
2023-01-06,-0.0179,0.0201,0.9799,31
2023-01-09,-0.0089,0.01,0.99,26
2023-01-10,-0.026,0.0307,0.9693,39
2023-01-11,-0.0299,0.0349,0.9651,51
2023-01-12,-0.0346,0.0402,0.9598,22
2023-01-13,-0.0173,0.0201,0.9799,33
2023-01-16,-0.0086,0.01,0.99,34
2023-01-17,-0.0259,0.0313,0.9687,19
2023-01-18,-0.0414,0.0514,0.9486,14
2023-01-19,-0.0207,0.0257,0.9743,12
2023-01-20,-0.0103,0.0128,0.9872,16
2023-01-23,-0.0052,0.0064,0.9936,10
2023-01-24,-0.0026,0.0032,0.9968,13
2023-01-25,-0.0013,0.0016,0.9984,7
2023-01-26,-0.0006,0.0008,0.9992,48
2023-01-27,-0.0109,0.0126,0.9874,82
2023-01-30,-0.0055,0.0063,0.9937,39
2023-01-31,-0.0027,0.0031,0.9969,26
2023-02-01,-0.0014,0.0016,0.9984,28
2023-02-02,-0.0007,0.0008,0.9992,12
2023-02-03,-0.0162,0.0189,0.9811,27
2023-02-06,-0.0081,0.0095,0.9905,25
2023-02-07,-0.004,0.0047,0.9953,20
2023-02-08,-0.0294,0.0381,0.9619,14
2023-02-09,-0.0348,0.0428,0.9572,21
2023-02-10,-0.0174,0.0214,0.9786,16
2023-02-13,-0.0087,0.0107,0.9893,16
2023-02-14,-0.0271,0.0331,0.9669,18
2023-02-15,-0.0135,0.0166,0.9834,15
2023-02-16,-0.0068,0.0083,0.9917,16
2023-02-17,-0.0244,0.0291,0.9709,20
2023-02-20,-0.0122,0.0146,0.9854,31
2023-02-21,-0.0061,0.0073,0.9927,20
2023-02-22,-0.0031,0.0036,0.9964,23
2023-02-23,-0.0279,0.0331,0.9669,16
2023-02-24,-0.014,0.0165,0.9835,13
2023-02-27,-0.007,0.0083,0.9917,23
2023-02-28,-0.0035,0.0041,0.9959,17
